"last_name, first_name","player_id","year","single","double","triple","home_run","strikeout","walk","batting_avg","on_base_plus_slg","b_rbi","b_total_bases","r_total_stolen_base","barrel_batted_rate","in_zone_percent"
"Pujols, Albert","405395","2019","75","22","0","23","68","43",".244","0.735","93","211","3",5.8,47.3
"Cabrera, Miguel","408234","2019","106","21","0","12","108","48",".282","0.744","59","196","0",6.4,46
"Choo, Shin-Soo","425783","2019","92","31","2","24","165","78",".265","0.826","61","256","15",8.8,49.8
"Jones, Adam","430945","2019","84","25","1","16","101","31",".260","0.727","67","201","2",6.7,46.2
"Cruz Jr., Nelson","443558","2019","74","26","0","41","131","56",".311","1.031","108","290","0",19.9,44.5
"Longoria, Evan","446334","2019","74","19","2","20","112","43",".254","0.762","69","198","3",7.5,48.7
"Fowler, Dexter","451594","2019","72","24","1","19","142","74",".238","0.755","67","199","8",7.4,45.2
"Cabrera, Asdrúbal","452678","2019","72","25","1","18","103","57",".260","0.783","91","197","4",5.7,49.4
"Blackmon, Charlie","453568","2019","101","42","7","32","104","40",".314","0.940","86","334","2",8.3,48.7
"Cain, Lorenzo","456715","2019","105","30","0","11","106","50",".260","0.697","48","209","18",4.1,48.4
"Turner, Justin","457759","2019","88","24","0","27","88","51",".290","0.881","67","244","2",7.8,49.7
"Votto, Joey","458015","2019","89","32","1","15","123","76",".261","0.768","47","216","5",6.9,48
"Gardner, Brett","458731","2019","62","26","7","28","108","52",".251","0.828","74","247","10",4.1,48.6
"Braun, Ryan","460075","2019","76","31","2","22","105","34",".285","0.848","75","232","11",9.5,44.9
"Gordon, Alex","460086","2019","103","31","1","13","100","51",".266","0.741","76","220","5",5.4,48.4
"Andrus, Elvis","462101","2019","122","27","4","12","96","34",".275","0.706","72","236","31",3.5,48.6
"Ramos, Wilson","467092","2019","103","19","0","14","69","44",".288","0.767","73","197","1",4.7,48.5
"Santana, Carlos","467793","2019","96","30","1","34","108","108",".281","0.912","93","295","4",9.6,46.8
"Belt, Brandon","474832","2019","71","32","3","17","127","83",".234","0.742","57","212","4",8.7,45
"Brantley Jr., Michael","488726","2019","115","40","2","22","66","51",".311","0.875","90","289","3",5.5,50.5
"Gurriel Jr., Yuli","493329","2019","95","40","2","31","65","37",".298","0.884","104","305","5",3.6,47.7
"Rojas, Miguel","500743","2019","102","29","1","5","62","32",".284","0.710","46","183","9",2.6,50.2
"Escobar, Eduardo","500871","2019","97","29","10","35","130","50",".269","0.831","118","325","5",7,44
"Davis, Khris","501981","2019","72","11","0","23","146","47",".220","0.680","73","186","0",9.8,46.4
"Pham, Tommy","502054","2019","99","33","2","21","123","81",".273","0.819","68","255","25",7.9,48.5
"Martinez, J.D.","502110","2019","104","33","2","36","138","72",".304","0.940","105","320","2",12,46
